Date,App,Ad_Group,State,Revenue,Ad_Requests,Ad_Responses,Fill_Rate,Impressions,Render_Rate,1st_Clicks,2nd_Clicks
11-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3538173,2,100,1,50,0,0
11-09-2020,Callbreak Multiplayer,Quirky_Eng,Uttar Pradesh,0,3538173,3,100,2,66.7,0,0
11-09-2020,Callbreak Multiplayer,Danish&satish,Uttar Pradesh,0,3538173,4,100,2,50,0,0
11-09-2020,Callbreak Multiplayer,DanishSolo_English,Uttar Pradesh,0,3538173,2,100,1,50,0,0
11-09-2020,Callbreak Multiplayer,Danishsolo_Kan,Uttar Pradesh,0,3538173,3,100,1,33.3,0,0
11-09-2020,Callbreak Multiplayer,RC_GJ_Stock,Uttar Pradesh,0,3538173,1,100,0,0,0,0
11-09-2020,Callbreak Multiplayer,Gujrati_GL,Uttar Pradesh,0,3538173,9,100,4,44.4,0,0
10-09-2020,Callbreak Multiplayer,revshare,Uttar Pradesh,0,3535454,1,99.9,1,100,0,0
10-09-2020,Callbreak Multiplayer,Rooter_All apps,Uttar Pradesh,0,3535454,2,99.9,2,100,0,0
10-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Uttar Pradesh,1.69,3535454,675152,99.9,626372,92.8,3414,3373
10-09-2020,Callbreak Multiplayer,Dhani Backfill,Uttar Pradesh,0,3535454,17,99.9,4,23.5,0,0
10-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Admob_L,Uttar Pradesh,0,3535454,4,99.9,2,50,0,0
10-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Uttar Pradesh,1.44,3535454,18713,99.9,14250,76.15,384,114
10-09-2020,Callbreak Multiplayer,Dream11_NonCore,Uttar Pradesh,3.05,3535454,1436559,99.9,1244468,86.63,7917,2046
10-09-2020,Callbreak Multiplayer,MY11Circle_IN_SG_1500,Uttar Pradesh,5.28,3535454,624825,99.9,512337,82,8191,2588
10-09-2020,Callbreak Multiplayer,IPL banner,Uttar Pradesh,5.28,3535454,624010,99.9,514999,82.53,8266,2682
10-09-2020,Callbreak Multiplayer,11wickets_CPR,Uttar Pradesh,0,3535454,156203,99.9,130337,83.44,1074,316
10-09-2020,Callbreak Multiplayer,RC_MH_Stock_Marathi,Uttar Pradesh,0,3535454,15,99.9,12,80,0,0
10-09-2020,Callbreak Multiplayer,RC_MH_English,Uttar Pradesh,0,3535454,19,99.9,17,89.47,0,0
10-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3535454,20,99.9,14,70,0,0
10-09-2020,Callbreak Multiplayer,Logo without name,Uttar Pradesh,0,3535454,18,99.9,13,72.22,0,0
10-09-2020,Callbreak Multiplayer,logo with name,Uttar Pradesh,0,3535454,20,99.9,12,60,0,0
10-09-2020,Callbreak Multiplayer,RC_TN_ENG,Uttar Pradesh,0,3535454,2,99.9,1,50,0,0
10-09-2020,Callbreak Multiplayer,Quirky_Eng,Uttar Pradesh,0,3535454,1,99.9,0,0,0,0
10-09-2020,Callbreak Multiplayer,Satishsolo_Tamil,Uttar Pradesh,0,3535454,1,99.9,0,0,0,0
10-09-2020,Callbreak Multiplayer,Satishsolo_Eng,Uttar Pradesh,0,3535454,1,99.9,0,0,0,0
10-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3535454,4,99.9,3,75,0,0
10-09-2020,Callbreak Multiplayer,Quirky_Eng,Uttar Pradesh,0,3535454,2,99.9,2,100,0,0
10-09-2020,Callbreak Multiplayer,Danish&satish,Uttar Pradesh,0,3535454,2,99.9,2,100,0,0
10-09-2020,Callbreak Multiplayer,DanishSolo_English,Uttar Pradesh,0,3535454,1,99.9,1,100,0,0
10-09-2020,Callbreak Multiplayer,Danishsolo_Kan,Uttar Pradesh,0,3535454,3,99.9,3,100,0,0
10-09-2020,Callbreak Multiplayer,Malayalm_KL,Uttar Pradesh,0,3535454,1,99.9,1,100,0,0
10-09-2020,Callbreak Multiplayer,Ajusolo_Eng,Uttar Pradesh,0,3535454,1,99.9,1,100,0,0
10-09-2020,Callbreak Multiplayer,Ajusolo_Mal,Uttar Pradesh,0,3535454,2,99.9,2,100,0,0
10-09-2020,Callbreak Multiplayer,Gujrati_GL,Uttar Pradesh,0,3535454,10,99.9,7,70,0,0
08-09-2020,Callbreak Multiplayer,Rummy77,Uttar Pradesh,0,3508654,1,100,0,0,0,0
08-09-2020,Callbreak Multiplayer,New creative,Uttar Pradesh,0,3508654,1,100,0,0,0,0
08-09-2020,Callbreak Multiplayer,Rooter_All apps,Uttar Pradesh,0,3508654,26,100,23,88.46,0,0
08-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Uttar Pradesh,2.21,3508654,835089,100,771844,92.4,4464,4426
08-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Admob_L,Uttar Pradesh,0,3508654,18,100,7,38.9,0,0
08-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Uttar Pradesh,2.73,3508654,35813,100,28946,80.83,584,195
08-09-2020,Callbreak Multiplayer,Dream11_NonCore,Uttar Pradesh,3.05,3508654,1398952,100,1287804,92.1,8518,2213
08-09-2020,Callbreak Multiplayer,MY11Circle_IN_SG_1500,Uttar Pradesh,2.64,3508654,542748,100,464502,85.58,6764,2186
08-09-2020,Callbreak Multiplayer,IPL banner,Uttar Pradesh,5.28,3508654,542945,100,473493,87.21,7519,2468
08-09-2020,Callbreak Multiplayer,11wickets_CPR,Uttar Pradesh,0,3508654,152718,100,133485,87.41,1003,292
08-09-2020,Callbreak Multiplayer,RC_MH_Stock_Marathi,Uttar Pradesh,0,3508654,16,100,16,100,0,0
08-09-2020,Callbreak Multiplayer,RC_MH_English,Uttar Pradesh,0,3508654,31,100,25,80.65,0,0
08-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3508654,34,100,27,79.41,0,0
08-09-2020,Callbreak Multiplayer,Logo without name,Uttar Pradesh,0,3508654,35,100,24,68.6,0,0
08-09-2020,Callbreak Multiplayer,logo with name,Uttar Pradesh,0,3508654,27,100,20,74.07,0,0
08-09-2020,Callbreak Multiplayer,Satishsolo_Eng,Uttar Pradesh,0,3508654,1,100,1,100,0,0
08-09-2020,Callbreak Multiplayer,RC_KA_Stock_English,Uttar Pradesh,0,3508654,1,100,1,100,0,0
08-09-2020,Callbreak Multiplayer,Quirky_Eng,Uttar Pradesh,0,3508654,2,100,1,50,0,0
08-09-2020,Callbreak Multiplayer,Danish&satish,Uttar Pradesh,0,3508654,2,100,2,100,0,0
08-09-2020,Callbreak Multiplayer,RC_GJ_Stock,Uttar Pradesh,0,3508654,5,100,3,60,0,0
08-09-2020,Callbreak Multiplayer,Gujrati_GL,Uttar Pradesh,0,3508654,10,100,8,80,0,0
09-09-2020,Callbreak Multiplayer,revshare,Uttar Pradesh,0,3501482,2,100,1,50,0,0
09-09-2020,Callbreak Multiplayer,Rooter_All apps,Uttar Pradesh,0,3501482,2,100,1,50,0,0
09-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Uttar Pradesh,1.32,3501482,525798,100,476992,90.7,2651,2634
09-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Admob_L,Uttar Pradesh,0,3501482,11,100,8,72.73,0,0
09-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Uttar Pradesh,1.12,3501482,14443,100,11678,80.86,272,86
09-09-2020,Callbreak Multiplayer,Dream11_NonCore,Uttar Pradesh,3.66,3501482,1543298,100,1420028,92,8700,2252
09-09-2020,Callbreak Multiplayer,MY11Circle_IN_SG_1500,Uttar Pradesh,3.96,3501482,631751,100,541137,85.66,8036,2508
09-09-2020,Callbreak Multiplayer,IPL banner,Uttar Pradesh,5.28,3501482,630842,100,545485,86.47,8566,2777
09-09-2020,Callbreak Multiplayer,11wickets_CPR,Uttar Pradesh,0,3501482,155121,100,133320,85.95,1066,283
09-09-2020,Callbreak Multiplayer,RC_MH_Stock_Marathi,Uttar Pradesh,0,3501482,24,100,22,91.7,0,0
09-09-2020,Callbreak Multiplayer,RC_MH_English,Uttar Pradesh,0,3501482,25,100,21,84,0,0
09-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3501482,26,100,23,88.46,0,0
09-09-2020,Callbreak Multiplayer,Logo without name,Uttar Pradesh,0,3501482,23,100,21,91.3,0,0
